property_id,street_address,city,city_encoded,num_bedrooms,num_bathrooms,square_feet,price,image_filename
47,7108 Lakeview Drive,"Frazier Park, CA",122,2,1,896,198500,47.jpg
48,4400 Vista Mesa Drive,"Bakersfield, CA",24,4,3,1848,219900,48.jpg
49,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000,49.jpg
51,1942 El Rey Street,"Rosamond, CA",312,3,2,1222,216000,51.jpg
52,3633 Capri Court,"Rosamond, CA",312,2,2,956,230000,52.jpg
53,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000,53.jpg
54,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000,54.jpg
55,2737 Hempstead Lane,"Bakersfield, CA",24,3,2,1499,233000,55.jpg
56,7741 Columbine Avenue,"California City, CA",57,3,2,1422,195000,56.jpg
57,1822 Matterhorn Drive,"Pine Mountain Club, CA",282,3,2.1,1152,238000,57.jpg
58,8901 Eucalyptus Avenue,"California City, CA",57,3,2,1774,230000,58.jpg
59,2805 Klondike Way,"Pine Mountain Club, CA",282,3,2,1584,219000,59.jpg
60,1748 Linden Drive,"Pine Mountain Club, CA",282,4,2,1368,239900,60.jpg
61,6702 Windpiper Lane,"Bakersfield, CA",24,3,2,1268,234900,61.jpg
62,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000,62.jpg
63,9347 Columbine Avenue,"California City, CA",57,3,2,1877,199000,63.jpg
64,2317 Glacier Drive,"Frazier Park, CA",122,3,2,1290,237500,64.jpg
65,14228 Yellowstone Drive,"Pine Mountain Club, CA",282,2,2,949,209750,65.jpg
66,21451 Santa Maria Drive,"Tehachapi, CA",367,3,2,1402,239000,66.jpg
67,4613 Chaney Lane,"Bakersfield, CA",24,3,2,1242,200000,67.jpg
68,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000,68.jpg
69,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000,69.jpg
70,21040 94th Street,"California City, CA",57,4,2,1775,195000,70.jpg
71,1801 Poplar Way,"Pine Mountain Club, CA",282,3,2,952,199000,71.jpg
72,417 Washington Avenue,"Bakersfield, CA",24,5,2,1953,235000,72.jpg
73,1121 Dawn Street,"Bakersfield, CA",24,3,2,1527,209900,73.jpg
74,1416 Sweetgum Avenue,"Rosamond, CA",312,2,2,956,213900,74.jpg
75,2050 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1542,220000,75.jpg
76,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000,76.jpg
77,6409 Sundale Avenue,"Bakersfield, CA",24,3,2,1448,230000,77.jpg
78,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000,78.jpg
79,5495 Avenue 54,"Bakersfield, CA",24,2,1,991,219900,79.jpg
80,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000,80.jpg
81,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900,81.jpg
82,2213 Zermatt Drive,"Pine Mountain Club, CA",282,2,1,783,195000,82.jpg
83,96697 Pinon Village Road,"Inyokern, CA",156,2,1,1100,230000,83.jpg
84,9609 Susan Avenue,"California City, CA",57,3,2,1729,210000,84.jpg
85,21741 Electra Court,"California City, CA",57,3,2,1945,199950,85.jpg
86,2223 Bernina Drive,"Pine Mountain Club, CA",282,4,2,1632,239000,86.jpg
87,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000,87.jpg
88,226 Spruce Street,"Tehachapi, CA",367,4,2.1,1967,249950,88.jpg
89,2818 Trakell Street,"Rosamond, CA",312,3,2,1433,260000,89.jpg
91,9225 Rea Avenue,"California City, CA",57,5,3,2065,249000,91.jpg
92,3200 Pesante Road,"Bakersfield, CA",24,3,2.1,1838,265000,92.jpg
93,1509 Silk Tree,"Bakersfield, CA",24,3,2,1683,290000,93.jpg
94,3411 Dakota Street,"Rosamond, CA",312,5,2,1837,260000,94.jpg
95,3319 Garnet Avenue,"Rosamond, CA",312,3,2,1630,259900,95.jpg
96,6788 Lakeview Drive,"Frazier Park, CA",122,3,2,1198,280000,96.jpg
98,10017 Laurie Avenue,"Bakersfield, CA",24,3,2,1515,275000,98.jpg
99,9825 Karen Ave,"California City, CA",57,4,2.1,1996,269669,99.jpg
100,11801 Pasture Avenue,"Tehachapi, CA",367,4,3.1,3648,249000,100.jpg
101,9721 Manhattan Drive,"Bakersfield, CA",24,3,2,1316,275000,101.jpg
102,8315 Hemlock Court,"Bakersfield, CA",24,3,2.1,1608,250000,102.jpg
103,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000,103.jpg
104,2310 St Bernard Drive,"Pine Mountain Club, CA",282,3,2,1800,270000,104.jpg
106,20844 Village,"California City, CA",57,4,3,1991,265000,106.jpg
107,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000,107.jpg
109,2822 Dixie Street,"Rosamond, CA",312,3,2,1500,245000,109.jpg
110,15505 Nesthorn Way,"Pine Mountain Club, CA",282,2,2,1137,259000,110.jpg
111,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000,111.jpg
112,9840 Margery Avenue,"California City, CA",57,3,2,2400,258000,112.jpg
113,4048 Summit Drive,"Frazier Park, CA",122,3,3.1,1526,275000,113.jpg
114,3142 Carnation St.,"Rosamond, CA",312,3,2,1687,260000,114.jpg
115,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000,115.jpg
116,2309 Symonds Drive,"Pine Mountain Club, CA",282,2,2,1378,249000,116.jpg
117,2600 Westland Drive,"Rosamond, CA",312,3,2,1473,269900,117.jpg
118,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900,118.jpg
119,904 Yosemite Drive,"Lebec, CA",196,3,2,1800,259000,119.jpg
120,21410 Brook Drive,"Tehachapi, CA",367,3,2,1320,249000,120.jpg
121,4213 Spruce,"Frazier Park, CA",122,3,2,1665,289000,121.jpg
122,1456 BRADFORD Avenue,"Rosamond, CA",312,3,2,1484,255000,122.jpg
123,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000,123.jpg
124,2516 Arbor Drive,"Frazier Park, CA",122,3,2,2176,260000,124.jpg
125,2101 Freeman Drive,"Frazier Park, CA",122,3,3,1376,269900,125.jpg
126,24440 Jacaranda Drive,"Tehachapi, CA",367,4,2,1888,255000,126.jpg
127,1604 Banff,"Pine Mountain Club, CA",282,3,3,1293,279000,127.jpg
128,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500,128.jpg
130,19701 Pine Ridge Drive,"Tehachapi, CA",367,3,3,2354,249000,130.jpg
131,1826 Zermatt Drive,"Pine Mountain Club, CA",282,3,2.2,1426,249000,131.jpg
132,1425 Dogwood,"Pine Mountain Club, CA",282,2,2,1520,265000,132.jpg
133,16800 Aleutian Drive,"Pine Mountain Club, CA",282,3,2,1920,275000,133.jpg
134,4100 N End Drive,"Frazier Park, CA",122,3,2,1836,274900,134.jpg
135,1620 Bernina Drive,"Pine Mountain Club, CA",282,3,2,1688,274960,135.jpg
136,9316 Carvalho Court,"Bakersfield, CA",24,3,2,1411,250000,136.jpg
137,126 Pinon Street,"Frazier Park, CA",122,4,2.1,1897,285000,137.jpg
138,2604 Basel Court,"Pine Mountain Club, CA",282,2,2,1733,278300,138.jpg
139,4001 Los Padres Drive,"Frazier Park, CA",122,2,2,1536,245000,139.jpg
140,1812 Poplar Way,"Pine Mountain Club, CA",282,3,2.1,1712,285000,140.jpg
141,9501 Redwood Boulevard,"California City, CA",57,3,2,1400,249000,141.jpg
142,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000,142.jpg
143,1801 Freeman Drive,"Frazier Park, CA",122,3,2,1380,249900,143.jpg
144,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000,144.jpg
145,20121 Airway Boulevard,"California City, CA",57,3,3.1,2571,275000,145.jpg
146,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000,146.jpg
147,14920 Geneva Court,"Pine Mountain Club, CA",282,3,2,1344,279000,147.jpg
148,1612 Zermatt Drive,"Pine Mountain Club, CA",282,3,2,1536,278888,148.jpg
149,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000,149.jpg
150,2312 Dom Court,"Pine Mountain Club, CA",282,3,2,1792,299000,150.jpg
151,5315 Mountain Plover Avenue,"Bakersfield, CA",24,3,2.1,2011,339900,151.jpg
152,2336 Newberry Street,"Rosamond, CA",312,5,3.1,2557,344500,152.jpg
153,29201 N Lower Valley Road,"Tehachapi, CA",367,4,2,1703,315000,153.jpg
154,1601 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1615,329900,154.jpg
155,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000,155.jpg
156,4205 Marella Way,"Bakersfield, CA",24,4,3,2792,325000,156.jpg
157,3433 Summer Breeze Avenue,"Rosamond, CA",312,4,2.1,1831,319900,157.jpg
158,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000,158.jpg
159,22816 Yeager Court,"Tehachapi, CA",367,3,2,1685,339000,159.jpg
160,6725 Paper Birch Lane,"Bakersfield, CA",24,4,2,1838,315000,160.jpg
161,4017 Aero Way,"Rosamond, CA",312,4,3,1689,315000,161.jpg
162,11104 Cypress Falls Ave,"Bakersfield, CA",24,4,2,2043,335000,162.jpg
163,8043 Mojave-Tropico,"Mojave, CA",220,3,2.1,2112,330000,163.jpg
164,3808 Whirlwind Drive,"Bakersfield, CA",24,5,2.1,2228,299000,164.jpg
166,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990,166.jpg
167,3412 Whisper Sands Avenue,"Rosamond, CA",312,3,2,1735,295000,167.jpg
169,29851 Starland,"Tehachapi, CA",367,3,2,1954,309900,169.jpg
170,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000,170.jpg
171,10240 Redwood Boulevard,"California City, CA",57,5,4,2631,311000,171.jpg
172,2894 Delmar Avenue,"Mojave, CA",220,3,2.1,1622,319000,172.jpg
173,1665 E Balboa Avenue,"Mojave, CA",220,6,5,2352,300000,173.jpg
174,19225 Jacks Hill Road,"Stallion Springs, CA",357,4,2,2302,344900,174.jpg
175,1301 Princeton,"Bakersfield, CA",24,3,3,2639,329999,175.jpg
176,1700 Bernina Drive,"Pine Mountain Club, CA",282,3,1.2,2304,329900,176.jpg
177,1309 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,1640,335000,177.jpg
178,3321 Santa Clara Trail,"Frazier Park, CA",122,3,2.1,1558,295000,178.jpg
179,6614 Clear Water Creek Way,"Bakersfield, CA",24,4,3,1982,299900,179.jpg
180,29500 Butterfield Way,"Tehachapi, CA",367,3,2,1883,329000,180.jpg
181,27509 Prospect Street,"Boron, CA",45,3,2,1800,299000,181.jpg
183,3540 Gold Crest Lane,"Rosamond, CA",312,4,3.1,1987,316900,183.jpg
184,612 Dennison Lane,"Bakersfield, CA",24,3,2,2248,336800,184.jpg
185,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000,185.jpg
186,22321 Briarwood Street,"Tehachapi, CA",367,4,2,1962,329999,186.jpg
187,9216 Whispering Pines Road,"Frazier Park, CA",122,4,2.1,1856,328000,187.jpg
188,26990 Owl Court,"Tehachapi, CA",367,4,2,2065,317000,188.jpg
189,604 Canyon Drive,"Lebec, CA",196,3,3,2479,299500,189.jpg
190,2321 Zermatt,"Pine Mountain Club, CA",282,3,2.1,2072,338000,190.jpg
191,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000,191.jpg
192,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000,192.jpg
193,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000,193.jpg
194,2624 Basel Court,"Pine Mountain Club, CA",282,3,2,1459,299000,194.jpg
195,9950 Karen Avenue,"California City, CA",57,3,2.1,2214,314900,195.jpg
196,2325 Cypress Way,"Pine Mountain Club, CA",282,3,2.1,1728,299000,196.jpg
197,1241 N Mayflower Circle,"Ridgecrest, CA",308,6,4,2608,339900,197.jpg
198,9705 Bossa Nova Court,"Bakersfield, CA",24,3,2,1840,324999,198.jpg
199,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000,199.jpg
200,2300 Askin Court,"Pine Mountain Club, CA",282,4,3,2300,299000,200.jpg
201,2312 Ironwood,"Pine Mountain Club, CA",282,4,3,1680,329000,201.jpg
202,24575 Sarida Avenue,"Tehachapi, CA",367,3,1,1368,300000,202.jpg
203,3212 Tumble Weed Avenue,"Rosamond, CA",312,4,2.1,2700,360000,203.jpg
204,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500,204.jpg
205,3068 Lebec Oaks Rd,"Lebec, CA",196,2,2,1644,369000,205.jpg
206,28840 Gleneagle Court,"Tehachapi, CA",367,3,3,2052,365000,206.jpg
207,27720 Oakflat Drive,"Tehachapi, CA",367,3,3,1656,355000,207.jpg
208,12407 Gila River Drive,"Bakersfield, CA",24,3,2.1,2296,388000,208.jpg
209,901 Eagle Lane,"Frazier Park, CA",122,4,2,2216,349000,209.jpg
210,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000,210.jpg
211,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900,211.jpg
213,2037 Woodland Drive,"Pine Mountain Club, CA",282,3,2,1837,357000,213.jpg
214,181 Panorama Drive,"Kernville, CA",164,3,2.1,2125,389900,214.jpg
215,3445 Quiet Splendor Court,"Rosamond, CA",312,4,2.1,2498,349990,215.jpg
216,29580 Butterfield Way,"Tehachapi, CA",367,3,2,2325,369900,216.jpg
217,2411 Crimson Avenue,"Rosamond, CA",312,5,3.1,2637,350000,217.jpg
218,29442 Fawn Way,"Tehachapi, CA",367,4,2,2252,388950,218.jpg
219,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000,219.jpg
220,11409 Revolution Road,"Bakersfield, CA",24,5,3.1,2527,359900,220.jpg
221,19072 Pine Summit Court,"Tehachapi, CA",367,3,2,1762,365000,221.jpg
222,14013 Yellowstone Drive,"Frazier Park, CA",122,4,4,2900,359000,222.jpg
223,2987 Lebec Oaks Road,"Lebec, CA",196,3,2,2287,369963,223.jpg
224,14417 Yosemite Court,"Frazier Park, CA",122,4,3.1,2546,379900,224.jpg
225,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000,225.jpg
227,5310 Fountain Grass Avenue,"Bakersfield, CA",24,5,3,2972,349000,227.jpg
228,24550 Hart Drive,"Tehachapi, CA",367,4,2,2372,374000,228.jpg
229,1401 60th Street W,"Rosamond, CA",312,5,3,2760,375000,229.jpg
230,15448 Shasta Way,"Pine Mountain Club, CA",282,3,2.1,2230,369900,230.jpg
231,28037 wyly Court,"Keene, CA",163,2,2,1104,395000,231.jpg
232,16501 Grizzly Drive,"Pine Mountain Club, CA",282,4,3,2570,369900,232.jpg
233,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000,233.jpg
234,16509 Oakwood Way,"Bakersfield, CA",24,4,3,2592,379900,234.jpg
235,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990,235.jpg
236,2222 Gimmewald Place,"Pine Mountain Club, CA",282,2,1,852,350000,236.jpg
237,1408 Banff Drive,"Pine Mountain Club, CA",282,3,2,2380,349000,237.jpg
238,1013 Laura Lane,"Tehachapi, CA",367,5,3.1,2725,345000,238.jpg
239,14332 Voltaire Drive,"Pine Mountain Club, CA",282,3,2.1,2196,356900,239.jpg
240,2041 St Bernard Drive,"Frazier Park, CA",122,3,3,2389,389000,240.jpg
241,4321 Logan Trail,"Frazier Park, CA",122,4,3,2746,379000,241.jpg
242,18611 Mustang Drive,"Tehachapi, CA",367,3,2.1,3046,349000,242.jpg
243,15623 K Street,"Mojave, CA",220,4,4,1687,400000,243.jpg
244,1804 St Anton Drive,"Pine Mountain Club, CA",282,3,2,1958,398500,244.jpg
245,28721 Delaware Place,"Tehachapi, CA",367,3,2.1,2753,439000,245.jpg
246,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000,246.jpg
247,7303 Glitter Way,"Bakersfield, CA",24,4,3.1,3249,399000,247.jpg
248,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900,248.jpg
249,12102 Rodeo Ave,"Bakersfield, CA",24,5,3,3188,399900,249.jpg
250,11317 Silver Crown Avenue,"Bakersfield, CA",24,4,2.1,2496,419000,250.jpg
251,3416 Kansas,"Frazier Park, CA",122,3,2,2620,439000,251.jpg
252,25408 Roost Avenue,"Tehachapi, CA",367,3,3,2265,429000,252.jpg
253,2301 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2000,399000,253.jpg
254,2407 Sunrise Drive,"Bakersfield, CA",24,4,3,2475,425000,254.jpg
255,1114 Snowline Drive,"Frazier Park, CA",122,3,3.1,2075,399000,255.jpg
256,1421 Woodland Drive,"Pine Mountain Club, CA",282,3,3,1915,423000,256.jpg
257,1720 Woodland Drive,"Pine Mountain Club, CA",282,3,2.1,2570,439000,257.jpg
258,28037 wyly Court,"Keene, CA",163,2,2,1104,395000,258.jpg
259,6926 Panama Road,"Bakersfield, CA",24,4,3,3071,395000,259.jpg
260,10009 Barnes Drive,"Bakersfield, CA",24,4,3.1,2368,399990,260.jpg
261,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000,261.jpg
262,24281 Bowen,"Tehachapi, CA",367,3,2,2638,424998,262.jpg
263,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000,263.jpg
264,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000,264.jpg
265,16725 Sequoia Way,"Pine Mountain Club, CA",282,4,3.1,2753,425000,265.jpg
266,2436 Antelope Way,"Pine Mountain Club, CA",282,4,4.1,3855,425000,266.jpg
267,15623 K Street,"Mojave, CA",220,4,4,1687,400000,267.jpg
268,1700 Zion Way,"Pine Mountain Club, CA",282,4,2.1,2962,490000,268.jpg
269,12101 Riverfront Park Drive,"Bakersfield, CA",24,4,2.1,3136,469000,269.jpg
270,49820 Gorman Post Road,"Gorman, CA",129,3,3,2503,449000,270.jpg
271,7001 Creemore Street,"Bakersfield, CA",24,4,3.1,3578,449900,271.jpg
272,2709 Villalovos Court,"Bakersfield, CA",24,10,8,3784,475000,272.jpg
273,8410 Exodus Lane,"Bakersfield, CA",24,4,3,2521,475000,273.jpg
274,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500,274.jpg
275,23601 Stacy Court,"Tehachapi, CA",367,5,2.1,3752,489000,275.jpg
276,6982 Caliente Bodfish Road,"Caliente, CA",56,5,4,3538,450000,276.jpg
277,2801 Arctic Drive,"Pine Mountain Club, CA",282,4,3.1,3744,445000,277.jpg
278,2117 Cypress Way,"Pine Mountain Club, CA",282,4,4.1,5300,449000,278.jpg
279,17820 Lockwood Valley Road,"Frazier Park, CA",122,3,2,1200,485000,279.jpg
280,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000,280.jpg
281,2513 Beechwood Way,"Pine Mountain Club, CA",282,3,3.1,2475,535000,281.jpg
282,1217 Azalea Drive,"Pine Mountain Club, CA",282,3,2,2150,495500,282.jpg
283,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,283.jpg
284,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000,284.jpg
285,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,285.jpg
286,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000,286.jpg
289,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000,289.jpg
290,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000,290.jpg
291,1766 Fir Drive,"Wofford Heights, CA",409,3,3,2466,524000,291.jpg
292,2532 Brentwood Place,"Pine Mountain Club, CA",282,5,3.1,3300,499000,292.jpg
293,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,293.jpg
294,26640 Oakflat Drive,"Tehachapi, CA",367,3,2.1,3443,545000,294.jpg
295,40171 Wilson Street,"Caliente, CA",56,3,2.1,2040,550000,295.jpg
296,3379 50th Street W,"Rosamond, CA",312,6,5,3942,550000,296.jpg
299,2921 Barrowby Street,"Bakersfield, CA",24,5,2.1,3103,550000,299.jpg
300,24351 Deertrail Drive,"Bear Valley Springs, CA",28,4,3,3001,545000,300.jpg
301,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000,301.jpg
302,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999,302.jpg
303,4400 Country Club Drive,"Bakersfield, CA",24,4,3,3472,619999,303.jpg
304,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000,304.jpg
305,13100 Franceschi Road,"Caliente, CA",56,2,1,1480,599000,305.jpg
306,16200 Brimhall Road,"Bakersfield, CA",24,6,3,2730,649999,306.jpg
308,5051 Creekside Dr Road,"Arvin, CA",20,4,4,4111,699000,308.jpg
309,20005 Sasia Road,"Tehachapi, CA",367,4,3,4510,645000,309.jpg
310,11436 Cuddy Valley Road,"Frazier Park, CA",122,4,2,3383,715000,310.jpg
311,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000,311.jpg
312,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000,312.jpg
313,22020 Stockdale,"Bakersfield, CA",24,5,4,5085,719000,313.jpg
316,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500,316.jpg
317,100492 Boggy Meadows Road,"Inyokern, CA",156,5,3,3000,750000,317.jpg
318,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000,318.jpg
319,2801 Sheltenham Way,"Bakersfield, CA",24,4,2.1,3221,747000,319.jpg
320,11717 Harrington Street,"Bakersfield, CA",24,5,4.1,4481,760000,320.jpg
321,17625 Saddle Mountain Drive,"Bakersfield, CA",24,5,3,5832,799500,321.jpg
322,18360 Buckaroo Court,"Bakersfield, CA",24,4,2.1,2901,799000,322.jpg
323,8623 Deer Trail,"Frazier Park, CA",122,4,3.2,4390,829000,323.jpg
324,14934 Henderson Avenue,"Bakersfield, CA",24,7,4.1,5082,949000,324.jpg
326,4332 BEN Avenue,"Studio City, CA",360,3,2,2185,1095000,326.jpg
327,4321 BELLAIRE Avenue,"Studio City, CA",360,3,2,1671,1225000,327.jpg
328,1345 Selvas Place,"Glendale, CA",126,3,2,1635,1075000,328.jpg
329,4911 N Algoma,"Eagle Rock, CA",106,3,3,1980,1449700,329.jpg
330,28614 Mount Lassen Lane,"Rancho Palos Verdes, CA",301,4,2,2100,1049000,330.jpg
331,21745 ybarra Road,"Woodland Hills, CA",410,4,3,2568,1100000,331.jpg
332,121 S Bluff Road,"Montebello, CA",223,6,5,2625,1080000,332.jpg
333,8630 STANMOOR Drive,"Los Angeles, CA",207,2,2,1834,1395000,333.jpg
334,4709 Lindblade Drive,"Culver City, CA",94,3,3,1382,1229000,334.jpg
335,23230 Ladrillo Street,"Woodland Hills, CA",410,4,4,2308,1195000,335.jpg
336,7040 E Mezzanine Way,"Long Beach, CA",204,4,2,2055,1195000,336.jpg
337,20540 Gartel Drive,"Walnut, CA",395,4,4,3348,1033000,337.jpg
338,1917 S POINT VIEW Street,"Los Angeles, CA",207,3,2,2162,1299000,338.jpg
339,4030 W 60TH Street,"Los Angeles, CA",207,3,2.1,1970,1175000,339.jpg
340,1912 Saleroso Drive,"Rowland Heights, CA",315,4,3,3219,1038000,340.jpg
341,5353 Huntington Drive N,"Los Angeles, CA",207,2,1,1054,999999,341.jpg
342,4208 Tulane Avenue,"Long Beach, CA",204,5,4,3850,1423500,342.jpg
343,4835 Algoma Avenue,"Los Angeles, CA",207,3,2,1646,1079000,343.jpg
344,19800 Winged Foot Way,"Porter Ranch, CA",292,4,5,3923,1149000,344.jpg
345,21117 Placerita Canyon Road,"Newhall, CA",239,3,3,2176,1089000,345.jpg
347,725 NAVY Street,"Santa Monica, CA",337,2,1,1064,1450000,347.jpg
348,2815 Huntington Drive,"San Marino, CA",328,3,2,1509,1188000,348.jpg
349,20419 RUSTON Road,"Woodland Hills, CA",410,3,3,2338,1095000,349.jpg
350,611 N CURSON Avenue,"Los Angeles, CA",207,2,1,957,1499000,350.jpg
351,1163 S MUIRFIELD Road,"Los Angeles, CA",207,3,2,1623,1075000,351.jpg
